"id","instrument_id","open","close","low","high","volume","open_interest","datetime","net_diff","obi_max","obi_min","amom_sum","wall_ask","wall_bid"
"4283","ru2609","17870","17870","17865","17875","808","207369","2026-05-11 21:38:00","40","0.1253","-0.1311","-8","[]","[]"
"4284","ru2609","17865","17875","17865","17875","541","207407","2026-05-11 21:39:00","-70","0.0612","-0.1793","61","[]","[]"
"4285","ru2609","17875","17880","17870","17880","731","207463","2026-05-11 21:40:00","-53","0.0544","-0.1432","38","[]","[]"
"4286","ru2609","17880","17870","17860","17885","942","207492","2026-05-11 21:41:00","-265","0.106","-0.1878","-109","[]","[]"
"4287","ru2609","17865","17860","17855","17870","1039","207529","2026-05-11 21:42:00","195","0.0871","-0.2236","75","[]","[]"
"4288","ru2609","17860","17855","17845","17860","1119","207414","2026-05-11 21:43:00","18","0.0665","-0.1524","-50","[]","[]"
"4289","ru2609","17855","17850","17840","17860","887","207342","2026-05-11 21:44:00","-68","0.1404","-0.1641","-21","[]","[]"
"4290","ru2609","17845","17840","17835","17860","1483","207276","2026-05-11 21:45:00","-242","0.1487","-0.3753","-16","[]","[]"
"4291","ru2609","17845","17810","17805","17845","2743","207022","2026-05-11 21:46:00","-729","0.2011","-0.2151","-108","[]","[]"
"4292","ru2609","17810","17810","17805","17820","2409","206912","2026-05-11 21:47:00","263","0.1875","-0.1007","-93","[]","[]"
"4293","ru2609","17810","17815","17805","17820","1463","206910","2026-05-11 21:48:00","58","0.1978","0","116","[]","[]"
"4294","ru2609","17815","17815","17800","17815","1470","207009","2026-05-11 21:49:00","82","0.1797","-0.0908","69","[]","[]"
"4295","ru2609","17815","17810","17795","17820","2499","207013","2026-05-11 21:50:00","-449","0.077","-0.3246","100","[]","[]"
"4296","ru2609","17805","17800","17800","17820","1306","206881","2026-05-11 21:51:00","-5","0.1593","-0.0819","9","[]","[]"
"4297","ru2609","17800","17810","17800","17815","815","206780","2026-05-11 21:52:00","137","0.1066","-0.1486","-50","[]","[]"
"4298","ru2609","17815","17805","17790","17815","1549","206867","2026-05-11 21:53:00","-204","0.2218","-0.1032","135","[]","[]"
"4299","ru2609","17810","17805","17800","17820","1212","206732","2026-05-11 21:54:00","-160","0.104","-0.1792","32","[]","[]"
"4300","ru2609","17805","17810","17805","17815","488","206729","2026-05-11 21:55:00","0","0.0885","-0.1564","-9","[]","[]"
"4301","ru2609","17810","17815","17805","17815","477","206736","2026-05-11 21:56:00","98","0.1462","-0.1204","51","[]","[]"
"4302","ru2609","17815","17805","17795","17815","1434","206741","2026-05-11 21:57:00","-470","0.1524","-0.1066","-162","[]","[]"
"4303","ru2609","17800","17810","17800","17810","434","206772","2026-05-11 21:58:00","112","0.067","-0.2333","42","[]","[]"
"4304","ru2609","17810","17810","17805","17810","376","206748","2026-05-11 21:59:00","162","0.0007","-0.1837","5","[]","[]"
"4305","ru2609","17810","17805","17800","17810","514","206727","2026-05-11 22:00:00","-61","0.0799","-0.1672","-12","[]","[]"
"4306","ru2609","17805","17795","17795","17810","759","206735","2026-05-11 22:01:00","29","0.231","-0.1863","11","[]","[]"
"4307","ru2609","17795","17800","17795","17805","630","206901","2026-05-11 22:02:00","31","0.0582","-0.2","83","[]","[]"
"4308","ru2609","17800","17795","17790","17800","582","206814","2026-05-11 22:03:00","-133","0.1492","-0.1495","-15","[]","[]"
"4309","ru2609","17790","17800","17775","17800","1917","206649","2026-05-11 22:04:00","-99","0.2812","-0.1341","66","[]","[]"
"4310","ru2609","17800","17785","17785","17800","724","206590","2026-05-11 22:05:00","-269","0.3063","-0.1144","6","[]","[]"
"4311","ru2609","17780","17780","17770","17790","1946","206587","2026-05-11 22:06:00","-145","0.3501","0","124","[]","[]"
"4312","ru2609","17780","17775","17770","17785","1514","206634","2026-05-11 22:07:00","-91","0.3308","-0.0119","56","[]","[]"
"4313","ru2609","17780","17785","17775","17785","380","206586","2026-05-11 22:08:00","52","0.2129","0","6","[]","[]"
"4314","ru2609","17785","17770","17770","17795","1380","206483","2026-05-11 22:09:00","-244","0.3215","0","-59","[]","[]"
"4315","ru2609","17775","17765","17760","17775","1629","206643","2026-05-11 22:10:00","251","0.2739","0","-126","[]","[]"
"4316","ru2609","17770","17780","17755","17780","1615","206555","2026-05-11 22:11:00","108","0.3312","-0.0304","-88","[]","[]"
"4317","ru2609","17780","17780","17775","17780","419","206460","2026-05-11 22:12:00","0","0.3432","0","0","[]","[]"
"4318","ru2609","17780","17775","17770","17780","447","206445","2026-05-11 22:13:00","72","0.3732","0","25","[]","[]"
"4319","ru2609","17780","17775","17770","17780","303","206430","2026-05-11 22:14:00","-69","0.388","0","0","[]","[]"
"4320","ru2609","17775","17785","17770","17785","647","206443","2026-05-11 22:15:00","54","0.3724","0","37","[]","[]"
"4321","ru2609","17785","17790","17785","17795","1010","206238","2026-05-11 22:16:00","13","0.3124","0","-40","[]","[]"
"4322","ru2609","17790","17800","17790","17800","783","206236","2026-05-11 22:17:00","80","0.1809","-0.054","-8","[]","[]"
"4323","ru2609","17800","17805","17800","17805","930","206180","2026-05-11 22:18:00","90","0.1549","-0.102","-11","[]","[]"
"4324","ru2609","17805","17805","17800","17810","651","206164","2026-05-11 22:19:00","87","0.0656","-0.1189","-8","[]","[]"
"4325","ru2609","17805","17800","17795","17805","309","206248","2026-05-11 22:20:00","0","0.0125","-0.1545","-56","[]","[]"
"4326","ru2609","17800","17805","17795","17805","226","206229","2026-05-11 22:21:00","89","0","-0.188","0","[]","[]"
"4327","ru2609","17800","17795","17785","17805","942","206403","2026-05-11 22:22:00","-88","0.0607","-0.2322","-155","[]","[]"
"4328","ru2609","17790","17790","17790","17795","604","206315","2026-05-11 22:23:00","205","0.0754","-0.2765","8","[]","[]"
"4329","ru2609","17790","17795","17790","17800","160","206281","2026-05-11 22:24:00","0","0.0494","-0.1702","35","[]","[]"
"4330","ru2609","17800","17800","17795","17800","82","206286","2026-05-11 22:25:00","51","0","-0.1414","0","[]","[]"
"4331","ru2609","17795","17800","17795","17800","130","206254","2026-05-11 22:26:00","0","0","-0.1484","0","[]","[]"
"4332","ru2609","17795","17795","17795","17800","195","206304","2026-05-11 22:27:00","65","0","-0.1694","0","[]","[]"
"4333","ru2609","17795","17800","17795","17805","401","206299","2026-05-11 22:28:00","0","0","-0.1737","0","[]","[]"
"4334","ru2609","17800","17800","17800","17805","667","206362","2026-05-11 22:29:00","-208","0.0435","-0.2348","-6","[]","[]"
"4335","ru2609","17795","17795","17795","17800","223","206370","2026-05-11 22:30:00","0","0.1405","-0.1244","0","[]","[]"
"4336","ru2609","17795","17800","17795","17800","230","206346","2026-05-11 22:31:00","0","0.0806","-0.1866","0","[]","[]"
"4337","ru2609","17800","17805","17795","17810","605","206266","2026-05-11 22:32:00","166","0.0431","-0.2278","15","[]","[]"
"4338","ru2609","17805","17805","17800","17815","941","206386","2026-05-11 22:33:00","-68","0.0151","-0.2088","92","[]","[]"
"4339","ru2609","17805","17810","17800","17810","234","206356","2026-05-11 22:34:00","0","0.0208","-0.1661","0","[]","[]"
"4340","ru2609","17805","17795","17795","17810","727","206520","2026-05-11 22:35:00","-228","0.1038","-0.1927","-114","[]","[]"
